episode,return
1,26.0
2,13.0
3,19.0
4,13.0
5,14.0
6,19.0
7,19.0
8,21.0
9,12.0
10,12.0
11,51.0
12,39.0
13,37.0
14,20.0
15,10.0
16,23.0
17,46.0
18,33.0
19,15.0
20,28.0
21,24.0
22,27.0
23,17.0
24,43.0
25,16.0
26,48.0
27,16.0
28,15.0
29,17.0
30,22.0
31,59.0
32,22.0
33,23.0
34,14.0
35,29.0
36,29.0
37,28.0
38,37.0
39,37.0
40,44.0
41,54.0
42,21.0
43,45.0
44,17.0
45,41.0
46,17.0
47,53.0
48,12.0
49,18.0
50,33.0
51,26.0
52,22.0
53,48.0
54,18.0
55,29.0
56,23.0
57,76.0
58,67.0
59,15.0
60,21.0
61,24.0
62,13.0
63,21.0
64,50.0
65,91.0
66,33.0
67,18.0
68,20.0
69,44.0
70,23.0
71,16.0
72,71.0
73,12.0
74,21.0
75,39.0
76,40.0
77,20.0
78,21.0
79,45.0
80,12.0
81,58.0
82,33.0
83,14.0
84,33.0
85,67.0
86,58.0
87,32.0
88,15.0
89,19.0
90,79.0
91,39.0
92,56.0
93,69.0
94,33.0
95,24.0
96,9.0
97,62.0
98,19.0
99,24.0
100,24.0
101,25.0
102,31.0
103,68.0
104,108.0
105,30.0
106,16.0
107,19.0
108,32.0
109,10.0
110,41.0
111,60.0
112,37.0
113,35.0
114,62.0
115,33.0
116,58.0
117,18.0
118,43.0
119,16.0
120,47.0
121,29.0
122,15.0
123,45.0
124,34.0
125,74.0
126,18.0
127,17.0
128,143.0
129,59.0
130,43.0
131,14.0
132,28.0
133,61.0
134,49.0
135,36.0
136,40.0
137,54.0
138,49.0
139,21.0
140,28.0
141,76.0
142,13.0
143,36.0
144,62.0
145,130.0
146,65.0
147,33.0
148,29.0
149,24.0
150,18.0
151,77.0
152,49.0
153,33.0
154,104.0
155,89.0
156,26.0
157,101.0
158,18.0
159,33.0
160,42.0
161,64.0
162,42.0
163,22.0
164,42.0
165,75.0
166,17.0
167,78.0
168,183.0
169,22.0
170,91.0
171,69.0
172,46.0
173,68.0
174,110.0
175,59.0
176,80.0
177,50.0
178,29.0
179,55.0
180,127.0
181,124.0
182,155.0
183,34.0
184,15.0
185,60.0
186,54.0
187,174.0
188,24.0
189,45.0
190,303.0
191,161.0
