episode,return
1,26.0
2,13.0
3,19.0
4,13.0
5,14.0
6,19.0
7,19.0
8,21.0
9,10.0
10,18.0
11,39.0
12,13.0
13,21.0
14,15.0
15,17.0
16,12.0
17,12.0
18,21.0
19,21.0
20,28.0
21,23.0
22,29.0
23,12.0
24,25.0
25,12.0
26,19.0
27,22.0
28,37.0
29,15.0
30,16.0
31,14.0
32,20.0
33,26.0
34,29.0
35,25.0
36,16.0
37,13.0
38,38.0
39,15.0
40,35.0
41,27.0
42,27.0
43,22.0
44,18.0
45,25.0
46,11.0
47,12.0
48,59.0
49,13.0
50,32.0
51,61.0
52,30.0
53,28.0
54,39.0
55,12.0
56,28.0
57,31.0
58,52.0
59,15.0
60,18.0
61,20.0
62,22.0
63,29.0
64,13.0
65,35.0
66,69.0
67,22.0
68,17.0
69,23.0
70,44.0
71,13.0
72,11.0
73,39.0
74,49.0
75,13.0
76,58.0
77,42.0
78,44.0
79,77.0
80,58.0
81,40.0
82,18.0
83,25.0
84,28.0
85,54.0
86,39.0
87,14.0
88,12.0
89,17.0
90,32.0
91,108.0
92,45.0
93,115.0
94,53.0
95,89.0
96,67.0
97,87.0
98,71.0
99,49.0
100,34.0
101,29.0
102,69.0
103,44.0
104,61.0
105,43.0
106,31.0
107,23.0
108,26.0
109,63.0
110,84.0
111,29.0
112,20.0
113,58.0
114,52.0
115,62.0
116,29.0
117,58.0
118,57.0
119,35.0
120,32.0
121,38.0
122,42.0
123,60.0
124,48.0
125,44.0
126,26.0
127,85.0
128,49.0
129,18.0
130,43.0
131,28.0
132,87.0
133,35.0
134,55.0
135,104.0
136,72.0
137,32.0
138,61.0
139,51.0
140,43.0
141,96.0
142,107.0
143,97.0
144,70.0
145,75.0
146,105.0
147,25.0
148,185.0
149,15.0
150,180.0
151,74.0
152,63.0
153,39.0
154,65.0
155,32.0
156,96.0
157,52.0
158,51.0
159,211.0
160,41.0
161,37.0
162,171.0
163,177.0
164,177.0
165,113.0
166,94.0
167,218.0
168,82.0
169,98.0
170,63.0
171,146.0
172,100.0
173,168.0
174,115.0
175,158.0
176,103.0
177,161.0
178,178.0
179,146.0
180,171.0
181,173.0
182,83.0
183,137.0
184,194.0
185,202.0
186,229.0
187,268.0
188,62.0
189,53.0
190,108.0
191,179.0
