episode,return
1,11.0
2,18.0
3,10.0
4,15.0
5,20.0
6,21.0
7,13.0
8,36.0
9,39.0
10,42.0
11,11.0
12,12.0
13,13.0
14,10.0
15,13.0
16,11.0
17,10.0
18,18.0
19,25.0
20,22.0
21,36.0
22,8.0
23,17.0
24,22.0
25,16.0
26,16.0
27,17.0
28,26.0
29,10.0
30,24.0
31,19.0
32,33.0
33,10.0
34,11.0
35,25.0
36,25.0
37,21.0
38,20.0
39,24.0
40,19.0
41,32.0
42,12.0
43,20.0
44,14.0
45,20.0
46,13.0
47,36.0
48,11.0
49,12.0
50,25.0
51,15.0
52,23.0
53,15.0
54,28.0
55,20.0
56,34.0
57,24.0
58,32.0
59,70.0
60,15.0
61,23.0
62,16.0
63,37.0
64,13.0
65,13.0
66,30.0
67,18.0
68,20.0
69,21.0
70,10.0
71,21.0
72,46.0
73,24.0
74,26.0
75,44.0
76,11.0
77,11.0
78,19.0
79,15.0
80,38.0
81,16.0
82,45.0
83,20.0
84,34.0
85,12.0
86,12.0
87,11.0
88,42.0
89,18.0
90,12.0
91,22.0
92,31.0
93,10.0
94,21.0
95,13.0
96,17.0
97,22.0
98,29.0
99,15.0
100,23.0
101,44.0
102,12.0
103,14.0
104,33.0
105,141.0
106,26.0
107,13.0
108,43.0
109,15.0
110,26.0
111,16.0
112,146.0
113,41.0
114,32.0
115,17.0
116,59.0
117,52.0
118,117.0
119,109.0
120,36.0
121,21.0
122,13.0
123,47.0
124,18.0
125,46.0
126,200.0
127,27.0
128,18.0
129,139.0
130,50.0
131,49.0
132,21.0
133,17.0
134,96.0
135,100.0
136,175.0
137,112.0
138,210.0
139,156.0
140,69.0
141,163.0
142,185.0
143,18.0
144,115.0
145,127.0
146,126.0
147,107.0
148,119.0
149,118.0
150,129.0
151,132.0
152,117.0
153,110.0
154,106.0
155,60.0
156,107.0
157,146.0
158,139.0
159,19.0
160,146.0
161,130.0
162,123.0
163,146.0
164,13.0
165,138.0
166,150.0
167,143.0
168,163.0
169,148.0
170,200.0
171,202.0
172,177.0
173,203.0
174,200.0
175,101.0
176,122.0
177,96.0
178,119.0
179,95.0
180,91.0
181,43.0
182,95.0
183,95.0
184,32.0
185,62.0
186,100.0
187,118.0
188,92.0
189,94.0
190,36.0
191,67.0
192,92.0
193,31.0
194,37.0
195,48.0
196,92.0
197,96.0
198,134.0
199,321.0
200,30.0
201,208.0
202,112.0
203,97.0
204,104.0
205,17.0
206,99.0
207,20.0
208,70.0
209,95.0
210,91.0
211,95.0
212,101.0
213,54.0
214,43.0
215,43.0
216,89.0
217,66.0
218,30.0
219,68.0
220,94.0
221,40.0
222,126.0
223,106.0
224,98.0
225,62.0
226,125.0
227,225.0
228,96.0
229,86.0
230,100.0
231,235.0
232,133.0
233,82.0
234,142.0
235,14.0
236,172.0
237,60.0
238,71.0
239,105.0
240,32.0
241,96.0
242,93.0
243,116.0
244,54.0
245,84.0
246,84.0
247,74.0
248,15.0
249,13.0
250,86.0
251,52.0
252,46.0
253,129.0
254,92.0
255,100.0
256,89.0
257,37.0
258,87.0
259,111.0
260,37.0
261,97.0
262,95.0
263,90.0
264,127.0
265,26.0
266,45.0
267,101.0
268,90.0
269,86.0
270,48.0
271,91.0
272,89.0
273,99.0
274,57.0
275,83.0
276,107.0
277,52.0
278,34.0
279,19.0
280,95.0
281,85.0
282,46.0
283,20.0
284,12.0
285,12.0
286,89.0
287,95.0
288,25.0
289,106.0
290,122.0
291,87.0
292,76.0
293,68.0
294,40.0
295,28.0
296,47.0
297,25.0
298,33.0
299,27.0
300,44.0
301,59.0
302,37.0
303,59.0
304,39.0
305,111.0
306,98.0
307,96.0
308,108.0
309,162.0
310,129.0
311,107.0
312,99.0
313,116.0
314,99.0
315,24.0
316,99.0
317,25.0
318,32.0
319,91.0
320,95.0
321,104.0
322,82.0
323,90.0
324,12.0
325,36.0
326,30.0
327,93.0
328,100.0
329,109.0
330,106.0
331,110.0
332,97.0
333,99.0
334,100.0
335,114.0
336,133.0
337,109.0
338,128.0
339,137.0
340,154.0
341,92.0
342,69.0
343,65.0
344,87.0
345,63.0
346,91.0
347,39.0
348,66.0
349,65.0
350,82.0
351,119.0
352,135.0
353,96.0
354,110.0
355,65.0
356,86.0
357,96.0
358,115.0
359,42.0
360,87.0
361,177.0
362,128.0
363,215.0
364,76.0
365,101.0
366,49.0
367,161.0
368,62.0
369,48.0
370,53.0
371,43.0
372,20.0
