episode,return
1,11.0
2,18.0
3,10.0
4,15.0
5,20.0
6,26.0
7,18.0
8,17.0
9,14.0
10,23.0
11,18.0
12,12.0
13,15.0
14,18.0
15,12.0
16,16.0
17,12.0
18,21.0
19,24.0
20,17.0
21,54.0
22,24.0
23,16.0
24,16.0
25,16.0
26,17.0
27,25.0
28,16.0
29,15.0
30,19.0
31,13.0
32,17.0
33,24.0
34,80.0
35,23.0
36,26.0
37,15.0
38,28.0
39,13.0
40,20.0
41,22.0
42,16.0
43,16.0
44,45.0
45,16.0
46,32.0
47,16.0
48,71.0
49,49.0
50,21.0
51,19.0
52,36.0
53,35.0
54,15.0
55,16.0
56,17.0
57,19.0
58,12.0
59,39.0
60,13.0
61,12.0
62,12.0
63,20.0
64,13.0
65,56.0
66,16.0
67,25.0
68,33.0
69,31.0
70,28.0
71,9.0
72,29.0
73,16.0
74,69.0
75,13.0
76,14.0
77,16.0
78,104.0
79,30.0
80,53.0
81,23.0
82,14.0
83,23.0
84,57.0
85,41.0
86,25.0
87,19.0
88,31.0
89,11.0
90,32.0
91,22.0
92,16.0
93,14.0
94,29.0
95,31.0
96,15.0
97,40.0
98,16.0
99,59.0
100,67.0
101,30.0
102,35.0
103,40.0
104,19.0
105,14.0
106,25.0
107,11.0
108,54.0
109,25.0
110,14.0
111,41.0
112,29.0
113,29.0
114,57.0
115,43.0
116,40.0
117,16.0
118,9.0
119,11.0
120,13.0
121,16.0
122,11.0
123,20.0
124,16.0
125,21.0
126,24.0
127,15.0
128,15.0
129,19.0
130,19.0
131,21.0
132,78.0
133,11.0
134,23.0
135,13.0
136,18.0
137,10.0
138,22.0
139,25.0
140,12.0
141,12.0
142,14.0
143,9.0
144,12.0
145,43.0
146,23.0
147,11.0
148,18.0
149,17.0
150,17.0
151,13.0
152,25.0
153,65.0
154,39.0
155,49.0
156,28.0
157,37.0
158,44.0
159,15.0
160,38.0
161,26.0
162,9.0
163,16.0
164,35.0
165,41.0
166,18.0
167,58.0
168,14.0
169,86.0
170,21.0
171,32.0
172,15.0
173,14.0
174,63.0
175,35.0
176,24.0
177,47.0
178,37.0
179,18.0
180,60.0
181,15.0
182,74.0
183,10.0
184,24.0
185,45.0
186,15.0
187,17.0
188,22.0
189,22.0
190,38.0
191,11.0
192,24.0
193,122.0
194,62.0
195,50.0
196,26.0
197,18.0
198,42.0
199,10.0
200,32.0
201,53.0
202,17.0
203,17.0
204,24.0
205,52.0
206,22.0
207,18.0
208,14.0
209,18.0
210,18.0
211,67.0
212,13.0
213,66.0
214,33.0
215,14.0
216,14.0
217,36.0
218,10.0
219,37.0
220,15.0
221,38.0
222,18.0
223,13.0
224,10.0
225,10.0
226,14.0
227,78.0
228,17.0
229,12.0
230,67.0
231,61.0
232,15.0
233,56.0
234,30.0
235,18.0
236,27.0
237,69.0
238,102.0
239,33.0
240,21.0
241,53.0
242,14.0
243,19.0
244,22.0
245,55.0
246,24.0
247,29.0
248,14.0
249,38.0
250,12.0
251,11.0
252,18.0
253,31.0
254,34.0
255,12.0
256,52.0
257,75.0
258,49.0
259,29.0
260,36.0
261,18.0
262,16.0
263,17.0
264,83.0
265,17.0
266,48.0
267,14.0
268,13.0
269,25.0
270,102.0
271,13.0
272,37.0
273,13.0
274,92.0
275,15.0
276,25.0
277,20.0
278,63.0
279,33.0
280,16.0
281,13.0
282,37.0
283,24.0
284,9.0
285,16.0
286,81.0
287,18.0
288,60.0
289,53.0
290,31.0
291,31.0
292,17.0
293,43.0
294,12.0
295,57.0
296,21.0
297,94.0
298,18.0
299,55.0
300,15.0
301,52.0
302,74.0
303,13.0
304,31.0
305,46.0
306,14.0
307,155.0
308,19.0
309,25.0
310,39.0
311,12.0
312,30.0
313,31.0
314,34.0
315,10.0
316,58.0
317,36.0
318,18.0
319,57.0
320,18.0
321,168.0
322,23.0
323,22.0
324,46.0
325,22.0
326,24.0
327,20.0
328,29.0
329,28.0
330,43.0
331,18.0
332,23.0
333,25.0
334,37.0
335,58.0
336,46.0
337,79.0
338,12.0
339,57.0
340,20.0
341,11.0
342,78.0
343,65.0
344,96.0
345,19.0
346,45.0
347,10.0
348,40.0
349,20.0
350,42.0
351,41.0
352,20.0
353,20.0
354,52.0
355,177.0
356,15.0
357,15.0
358,16.0
359,89.0
360,45.0
361,48.0
362,14.0
363,185.0
364,76.0
365,26.0
366,43.0
367,23.0
368,104.0
369,10.0
370,21.0
371,22.0
372,15.0
