episode,return
1,230.0
2,210.0
3,280.0
4,300.0
5,220.0
6,250.0
7,330.0
8,420.0
9,130.0
10,130.0
11,230.0
12,240.0
13,190.0
14,180.0
15,470.0
16,610.0
17,230.0
18,260.0
19,180.0
20,170.0
21,220.0
22,190.0
23,390.0
24,340.0
25,140.0
26,210.0
27,210.0
28,190.0
29,300.0
30,390.0
31,380.0
32,150.0
33,290.0
34,130.0
35,210.0
36,220.0
37,440.0
38,300.0
39,590.0
40,350.0
41,340.0
42,140.0
43,280.0
44,210.0
45,320.0
46,270.0
47,690.0
48,260.0
49,180.0
50,300.0
51,220.0
52,230.0
53,250.0
54,200.0
55,170.0
56,240.0
57,250.0
58,240.0
59,310.0
60,230.0
61,240.0
62,190.0
63,330.0
64,220.0
65,210.0
66,670.0
67,240.0
68,310.0
69,150.0
70,220.0
71,180.0
72,1760.0
73,270.0
74,420.0
75,260.0
76,260.0
77,140.0
78,210.0
79,210.0
80,180.0
81,310.0
82,150.0
83,250.0
84,230.0
85,190.0
86,270.0
87,180.0
88,230.0
89,170.0
90,300.0
91,180.0
92,430.0
93,310.0
94,250.0
95,590.0
96,350.0
97,200.0
98,140.0
99,400.0
100,230.0
101,120.0
102,240.0
103,240.0
104,420.0
105,110.0
106,240.0
107,170.0
108,220.0
109,360.0
110,290.0
111,140.0
112,200.0
113,120.0
114,130.0
115,290.0
116,220.0
117,260.0
118,510.0
119,380.0
120,170.0
121,240.0
122,640.0
123,120.0
124,170.0
125,620.0
126,230.0
127,280.0
128,210.0
129,410.0
130,280.0
131,280.0
132,540.0
133,180.0
134,150.0
135,230.0
136,230.0
137,250.0
138,340.0
139,270.0
140,700.0
141,360.0
142,240.0
143,230.0
144,180.0
145,310.0
146,380.0
147,160.0
148,380.0
149,380.0
150,130.0
151,350.0
152,320.0
153,180.0
154,260.0
155,340.0
156,310.0
157,230.0
158,360.0
159,130.0
160,270.0
161,200.0
162,210.0
163,250.0
164,240.0
165,350.0
166,260.0
167,180.0
168,230.0
169,290.0
170,510.0
171,230.0
172,220.0
173,170.0
174,540.0
175,350.0
176,280.0
177,240.0
178,250.0
179,520.0
180,300.0
181,270.0
182,590.0
183,310.0
184,280.0
185,600.0
186,170.0
187,190.0
188,230.0
189,160.0
190,260.0
191,650.0
192,230.0
193,150.0
194,120.0
195,270.0
196,290.0
197,270.0
198,220.0
199,360.0
200,250.0
201,320.0
202,60.0
203,130.0
204,200.0
205,250.0
206,610.0
207,200.0
208,230.0
209,240.0
210,340.0
211,440.0
212,270.0
213,240.0
214,200.0
215,270.0
216,240.0
217,180.0
218,240.0
219,230.0
220,620.0
221,130.0
222,200.0
223,290.0
224,270.0
225,190.0
226,320.0
227,560.0
228,1030.0
229,200.0
230,380.0
231,220.0
232,540.0
233,430.0
234,150.0
235,280.0
236,380.0
237,280.0
238,240.0
239,590.0
240,280.0
241,280.0
242,180.0
243,160.0
244,170.0
245,140.0
246,400.0
247,110.0
248,210.0
249,240.0
250,300.0
251,270.0
252,270.0
253,180.0
254,200.0
255,130.0
256,240.0
257,260.0
258,160.0
259,170.0
260,80.0
261,270.0
262,240.0
263,180.0
264,440.0
265,350.0
266,270.0
267,540.0
268,280.0
269,430.0
270,220.0
271,310.0
272,250.0
273,200.0
274,250.0
275,440.0
276,960.0
277,260.0
278,240.0
279,400.0
280,220.0
281,190.0
282,330.0
283,340.0
284,240.0
285,270.0
286,360.0
287,160.0
288,370.0
289,200.0
290,260.0
291,160.0
292,280.0
293,500.0
294,260.0
295,670.0
296,170.0
297,210.0
298,230.0
299,250.0
300,460.0
301,500.0
302,440.0
303,350.0
304,200.0
305,200.0
306,170.0
307,490.0
308,420.0
309,380.0
310,310.0
311,210.0
312,200.0
313,220.0
314,210.0
315,250.0
316,230.0
317,220.0
318,520.0
319,360.0
320,240.0
321,740.0
322,310.0
323,330.0
324,240.0
325,240.0
326,220.0
327,1140.0
328,220.0
329,260.0
330,100.0
331,310.0
332,300.0
333,510.0
334,160.0
335,290.0
336,340.0
337,250.0
338,400.0
339,220.0
340,180.0
341,280.0
342,330.0
343,250.0
344,350.0
345,280.0
346,300.0
347,180.0
348,230.0
349,140.0
350,240.0
351,400.0
352,550.0
353,160.0
354,200.0
355,400.0
356,230.0
357,630.0
358,190.0
359,270.0
360,240.0
361,130.0
362,240.0
363,340.0
364,340.0
365,200.0
366,320.0
367,370.0
368,200.0
369,290.0
370,180.0
371,420.0
372,200.0
373,270.0
374,490.0
375,410.0
376,240.0
377,160.0
378,250.0
379,280.0
380,230.0
381,260.0
382,430.0
383,360.0
384,310.0
385,210.0
386,200.0
387,370.0
388,500.0
389,280.0
390,810.0
391,560.0
392,250.0
393,340.0
394,400.0
395,200.0
396,210.0
397,260.0
398,290.0
399,310.0
400,270.0
401,280.0
402,260.0
403,130.0
404,260.0
405,280.0
406,260.0
407,310.0
408,230.0
409,190.0
410,440.0
411,320.0
412,320.0
413,990.0
414,150.0
415,240.0
416,210.0
417,190.0
418,280.0
419,170.0
420,250.0
421,310.0
422,210.0
423,210.0
424,200.0
425,230.0
426,260.0
427,290.0
428,250.0
429,150.0
430,260.0
431,270.0
432,160.0
433,240.0
434,460.0
435,400.0
436,160.0
437,160.0
438,320.0
439,180.0
440,220.0
441,530.0
442,390.0
443,330.0
444,270.0
445,170.0
446,1390.0
447,350.0
448,190.0
449,880.0
450,220.0
451,390.0
452,320.0
453,250.0
454,370.0
455,400.0
456,590.0
457,200.0
458,390.0
459,130.0
460,120.0
461,320.0
462,280.0
463,170.0
464,470.0
465,290.0
466,200.0
467,190.0
468,130.0
469,740.0
470,350.0
471,100.0
472,470.0
473,270.0
474,200.0
475,310.0
476,490.0
477,310.0
478,390.0
479,340.0
480,330.0
481,1090.0
482,500.0
483,330.0
484,350.0
485,340.0
486,130.0
487,160.0
488,190.0
489,240.0
490,200.0
491,890.0
492,240.0
493,290.0
494,260.0
495,180.0
496,190.0
497,230.0
498,180.0
499,410.0
500,390.0
501,190.0
502,260.0
503,160.0
504,260.0
505,610.0
506,160.0
507,250.0
508,300.0
509,370.0
510,600.0
511,380.0
512,310.0
513,230.0
514,280.0
515,250.0
516,250.0
517,480.0
518,240.0
519,120.0
520,180.0
521,340.0
522,220.0
523,1120.0
524,410.0
525,980.0
526,180.0
527,450.0
528,170.0
529,240.0
530,430.0
531,590.0
532,340.0
533,320.0
534,170.0
535,410.0
536,140.0
537,540.0
538,220.0
539,320.0
540,510.0
541,370.0
542,160.0
543,1560.0
544,480.0
545,160.0
546,510.0
547,220.0
548,370.0
549,340.0
550,260.0
551,280.0
552,160.0
553,270.0
554,130.0
555,230.0
556,380.0
557,200.0
558,1010.0
559,260.0
560,270.0
561,220.0
562,260.0
563,560.0
564,200.0
565,330.0
566,220.0
567,300.0
568,350.0
569,600.0
570,820.0
571,270.0
572,390.0
573,430.0
574,200.0
575,300.0
576,360.0
577,150.0
578,460.0
579,140.0
580,240.0
581,330.0
582,250.0
583,250.0
584,220.0
585,280.0
586,340.0
587,320.0
588,320.0
589,200.0
590,240.0
591,160.0
592,290.0
593,210.0
594,230.0
595,180.0
596,120.0
597,590.0
598,190.0
599,450.0
600,160.0
601,100.0
602,310.0
603,610.0
604,140.0
605,180.0
606,240.0
607,250.0
608,220.0
609,410.0
610,410.0
611,230.0
612,230.0
613,280.0
614,230.0
615,320.0
616,280.0
617,210.0
618,210.0
619,770.0
620,370.0
621,300.0
622,220.0
623,650.0
624,270.0
625,330.0
626,370.0
627,220.0
628,120.0
629,230.0
630,490.0
631,390.0
632,170.0
633,310.0
634,270.0
635,450.0
636,380.0
637,280.0
638,600.0
639,980.0
640,140.0
641,290.0
642,170.0
643,350.0
644,330.0
645,230.0
646,290.0
647,180.0
648,320.0
649,610.0
650,170.0
651,310.0
652,190.0
653,220.0
654,490.0
655,610.0
656,560.0
657,190.0
658,350.0
659,190.0
660,160.0
661,300.0
662,150.0
663,270.0
664,180.0
665,490.0
666,260.0
667,260.0
668,240.0
669,380.0
670,360.0
671,390.0
672,290.0
673,170.0
674,240.0
675,200.0
676,280.0
677,180.0
678,310.0
679,100.0
680,120.0
681,160.0
682,190.0
683,150.0
684,470.0
685,370.0
686,210.0
687,380.0
688,220.0
689,280.0
690,170.0
691,160.0
692,330.0
693,230.0
694,330.0
695,390.0
696,290.0
697,160.0
698,230.0
699,330.0
700,190.0
701,150.0
702,200.0
703,220.0
704,310.0
705,360.0
706,250.0
707,520.0
708,310.0
709,180.0
710,310.0
711,140.0
712,220.0
713,210.0
714,250.0
715,310.0
716,380.0
717,270.0
718,220.0
719,90.0
720,260.0
721,390.0
722,320.0
723,90.0
724,340.0
725,500.0
726,180.0
727,170.0
728,340.0
729,330.0
730,160.0
731,180.0
732,240.0
733,100.0
734,260.0
