episode,return
1,260.0
2,270.0
3,160.0
4,190.0
5,390.0
6,510.0
7,140.0
8,650.0
9,230.0
10,220.0
11,190.0
12,160.0
13,130.0
14,400.0
15,210.0
16,170.0
17,260.0
18,630.0
19,130.0
20,350.0
21,530.0
22,320.0
23,550.0
24,250.0
25,250.0
26,230.0
27,270.0
28,250.0
29,270.0
30,100.0
31,270.0
32,190.0
33,270.0
34,120.0
35,210.0
36,720.0
37,140.0
38,290.0
39,320.0
40,150.0
41,290.0
42,260.0
43,230.0
44,300.0
45,380.0
46,230.0
47,280.0
48,240.0
49,240.0
50,260.0
51,350.0
52,120.0
53,200.0
54,150.0
55,300.0
56,530.0
57,220.0
58,300.0
59,210.0
60,230.0
61,230.0
62,370.0
63,200.0
64,190.0
65,170.0
66,270.0
67,300.0
68,180.0
69,280.0
70,300.0
71,190.0
72,210.0
73,430.0
74,130.0
75,200.0
76,330.0
77,140.0
78,330.0
79,690.0
80,290.0
81,160.0
82,210.0
83,220.0
84,600.0
85,290.0
86,230.0
87,220.0
88,250.0
89,270.0
90,200.0
91,220.0
92,190.0
93,240.0
94,170.0
95,340.0
96,300.0
97,230.0
98,390.0
99,210.0
100,210.0
101,240.0
102,170.0
103,260.0
104,420.0
105,240.0
106,280.0
107,240.0
108,220.0
109,210.0
110,210.0
111,280.0
112,310.0
113,200.0
114,470.0
115,310.0
116,260.0
117,1000.0
118,990.0
119,320.0
120,160.0
121,330.0
122,100.0
123,570.0
124,430.0
125,140.0
126,180.0
127,670.0
128,270.0
129,190.0
130,250.0
131,170.0
132,210.0
133,340.0
134,380.0
135,270.0
136,270.0
137,160.0
138,220.0
139,230.0
140,200.0
141,100.0
142,370.0
143,210.0
144,520.0
145,340.0
146,300.0
147,230.0
148,250.0
149,230.0
150,270.0
151,220.0
152,260.0
153,170.0
154,380.0
155,120.0
156,290.0
157,200.0
158,240.0
159,290.0
160,650.0
161,170.0
162,190.0
163,190.0
164,230.0
165,230.0
166,280.0
167,250.0
168,380.0
169,370.0
170,190.0
171,260.0
172,220.0
173,330.0
174,240.0
175,230.0
176,100.0
177,680.0
178,270.0
179,140.0
180,300.0
181,410.0
182,150.0
183,270.0
184,250.0
185,260.0
186,310.0
187,350.0
188,230.0
189,400.0
190,320.0
191,140.0
192,950.0
193,230.0
194,290.0
195,350.0
196,180.0
197,370.0
198,430.0
199,200.0
200,690.0
201,270.0
202,270.0
203,510.0
204,220.0
205,450.0
206,220.0
207,260.0
208,240.0
209,310.0
210,190.0
211,530.0
212,600.0
213,190.0
214,220.0
215,220.0
216,140.0
217,250.0
218,300.0
219,280.0
220,180.0
221,400.0
222,160.0
223,290.0
224,260.0
225,310.0
226,160.0
227,310.0
228,150.0
229,340.0
230,370.0
231,990.0
232,930.0
233,420.0
234,260.0
235,280.0
236,160.0
237,180.0
238,310.0
239,260.0
240,610.0
241,220.0
242,330.0
243,500.0
244,200.0
245,230.0
246,260.0
247,190.0
248,370.0
249,220.0
250,160.0
251,150.0
252,230.0
253,190.0
254,200.0
255,140.0
256,200.0
257,280.0
258,320.0
259,360.0
260,200.0
261,180.0
262,470.0
263,110.0
264,180.0
265,230.0
266,1190.0
267,340.0
268,420.0
269,240.0
270,950.0
271,290.0
272,310.0
273,250.0
274,290.0
275,260.0
276,280.0
277,190.0
278,310.0
279,470.0
280,260.0
281,160.0
282,230.0
283,260.0
284,190.0
285,200.0
286,550.0
287,230.0
288,260.0
289,150.0
290,170.0
291,310.0
292,570.0
293,250.0
294,170.0
295,190.0
296,320.0
297,190.0
298,310.0
299,330.0
300,110.0
301,1050.0
302,280.0
303,170.0
304,330.0
305,230.0
306,160.0
307,280.0
308,260.0
309,590.0
310,240.0
311,300.0
312,240.0
313,260.0
314,390.0
315,290.0
316,250.0
317,180.0
318,200.0
319,340.0
320,230.0
321,370.0
322,170.0
323,230.0
324,250.0
325,460.0
326,380.0
327,170.0
328,180.0
329,190.0
330,240.0
331,460.0
332,180.0
333,1380.0
334,310.0
335,270.0
336,990.0
337,320.0
338,220.0
339,400.0
340,310.0
341,240.0
342,320.0
343,140.0
344,250.0
345,300.0
346,280.0
347,140.0
348,140.0
349,140.0
350,220.0
351,180.0
352,320.0
353,120.0
354,320.0
355,260.0
356,320.0
357,190.0
358,240.0
359,290.0
360,510.0
361,320.0
362,240.0
363,1210.0
364,1190.0
365,280.0
366,180.0
367,970.0
368,290.0
369,360.0
370,470.0
371,290.0
372,180.0
373,300.0
374,140.0
375,260.0
376,300.0
377,240.0
378,400.0
379,150.0
380,250.0
381,150.0
382,210.0
383,280.0
384,640.0
385,220.0
386,260.0
387,370.0
388,260.0
389,220.0
390,190.0
391,220.0
392,240.0
393,380.0
394,270.0
395,310.0
396,410.0
397,240.0
398,120.0
399,310.0
400,300.0
401,190.0
402,260.0
403,470.0
404,220.0
405,290.0
406,330.0
407,460.0
408,290.0
409,330.0
410,200.0
411,380.0
412,260.0
413,250.0
414,240.0
415,330.0
416,230.0
417,250.0
418,190.0
419,290.0
420,390.0
421,360.0
422,260.0
423,270.0
424,200.0
425,240.0
426,340.0
427,300.0
428,550.0
429,200.0
430,230.0
431,230.0
432,250.0
433,290.0
434,300.0
435,320.0
436,220.0
437,300.0
438,190.0
439,180.0
440,300.0
441,290.0
442,1400.0
443,230.0
444,330.0
445,300.0
446,560.0
447,300.0
448,160.0
449,1000.0
450,220.0
451,150.0
452,150.0
453,390.0
454,270.0
455,270.0
456,340.0
457,290.0
458,1080.0
459,170.0
460,230.0
461,240.0
462,340.0
463,100.0
464,240.0
465,160.0
466,130.0
467,220.0
468,200.0
469,230.0
470,380.0
471,200.0
472,250.0
473,300.0
474,180.0
475,330.0
476,200.0
477,620.0
478,160.0
479,270.0
480,300.0
481,250.0
482,210.0
483,340.0
484,280.0
485,220.0
486,280.0
487,270.0
488,150.0
489,590.0
490,190.0
491,230.0
492,210.0
493,360.0
494,270.0
495,270.0
496,320.0
497,130.0
498,470.0
499,160.0
500,360.0
501,150.0
502,380.0
503,90.0
504,220.0
505,210.0
506,310.0
507,360.0
508,240.0
509,430.0
510,320.0
511,310.0
512,290.0
513,80.0
514,2160.0
515,340.0
516,170.0
517,380.0
518,270.0
519,240.0
520,300.0
521,560.0
522,340.0
523,300.0
524,240.0
525,230.0
526,360.0
527,90.0
528,260.0
529,160.0
530,410.0
531,400.0
532,330.0
533,230.0
