episode,return
1,220.0
2,160.0
3,240.0
4,360.0
5,370.0
6,420.0
7,270.0
8,290.0
9,190.0
10,230.0
11,210.0
12,110.0
13,220.0
14,440.0
15,190.0
16,210.0
17,560.0
18,330.0
19,510.0
20,190.0
21,240.0
22,290.0
23,170.0
24,320.0
25,210.0
26,240.0
27,320.0
28,190.0
29,240.0
30,240.0
31,290.0
32,230.0
33,240.0
34,190.0
35,360.0
36,960.0
37,250.0
38,230.0
39,800.0
40,260.0
41,180.0
42,280.0
43,270.0
44,220.0
45,310.0
46,950.0
47,260.0
48,220.0
49,400.0
50,260.0
51,220.0
52,290.0
53,180.0
54,240.0
55,950.0
56,280.0
57,250.0
58,240.0
59,210.0
60,190.0
61,250.0
62,260.0
63,300.0
64,200.0
65,240.0
66,180.0
67,250.0
68,420.0
69,290.0
70,450.0
71,250.0
72,170.0
73,160.0
74,320.0
75,150.0
76,170.0
77,170.0
78,240.0
79,100.0
80,260.0
81,100.0
82,260.0
83,270.0
84,730.0
85,280.0
86,240.0
87,250.0
88,150.0
89,1860.0
90,370.0
91,130.0
92,150.0
93,270.0
94,260.0
95,300.0
96,200.0
97,400.0
98,250.0
99,120.0
100,320.0
101,180.0
102,180.0
103,270.0
104,300.0
105,270.0
106,180.0
107,240.0
108,210.0
109,280.0
110,250.0
111,270.0
112,170.0
113,370.0
114,150.0
115,210.0
116,190.0
117,350.0
118,190.0
119,390.0
120,260.0
121,230.0
122,190.0
123,220.0
124,240.0
125,220.0
126,290.0
127,170.0
128,220.0
129,420.0
130,310.0
131,450.0
132,250.0
133,360.0
134,100.0
135,380.0
136,180.0
137,170.0
138,440.0
139,110.0
140,210.0
141,410.0
142,360.0
143,260.0
144,210.0
145,180.0
146,400.0
147,370.0
148,290.0
149,240.0
150,230.0
151,170.0
152,240.0
153,230.0
154,560.0
155,270.0
156,120.0
157,210.0
158,160.0
159,190.0
160,300.0
161,150.0
162,250.0
163,320.0
164,200.0
165,200.0
166,270.0
167,130.0
168,230.0
169,550.0
170,290.0
171,270.0
172,280.0
173,170.0
174,330.0
175,240.0
176,400.0
177,200.0
178,1800.0
179,240.0
180,260.0
181,270.0
182,160.0
183,220.0
184,180.0
185,280.0
186,260.0
187,210.0
188,260.0
189,210.0
190,220.0
191,250.0
192,190.0
193,250.0
194,360.0
195,120.0
196,270.0
197,230.0
198,130.0
199,270.0
200,340.0
201,190.0
202,270.0
203,270.0
204,220.0
205,110.0
206,300.0
207,240.0
208,120.0
209,160.0
210,160.0
211,270.0
212,190.0
213,330.0
214,180.0
215,160.0
216,230.0
217,280.0
218,290.0
219,180.0
220,230.0
221,300.0
222,120.0
223,320.0
224,590.0
225,250.0
226,280.0
227,230.0
228,310.0
229,290.0
