episode,return
1,21.0
2,13.0
3,26.0
4,22.0
5,14.0
6,25.0
7,18.0
8,13.0
9,25.0
10,15.0
11,18.0
12,38.0
13,40.0
14,40.0
15,20.0
16,45.0
17,26.0
18,26.0
19,24.0
20,31.0
21,35.0
22,50.0
23,12.0
24,27.0
25,25.0
26,55.0
27,38.0
28,11.0
29,22.0
30,23.0
31,33.0
32,37.0
33,15.0
34,24.0
35,22.0
36,32.0
37,29.0
38,67.0
39,20.0
40,13.0
41,31.0
42,29.0
43,46.0
44,34.0
45,27.0
46,32.0
47,42.0
48,20.0
49,15.0
50,10.0
51,15.0
52,25.0
53,37.0
54,44.0
55,46.0
56,48.0
57,29.0
58,47.0
59,16.0
60,14.0
61,37.0
62,27.0
63,26.0
64,34.0
65,35.0
66,50.0
67,90.0
68,33.0
69,35.0
70,52.0
71,44.0
72,41.0
73,50.0
74,50.0
75,76.0
76,36.0
77,60.0
78,71.0
79,33.0
80,67.0
81,34.0
82,48.0
83,93.0
84,38.0
85,46.0
86,173.0
87,31.0
88,31.0
89,16.0
90,74.0
91,99.0
92,38.0
93,43.0
94,86.0
95,116.0
96,134.0
97,66.0
98,66.0
99,141.0
100,38.0
101,85.0
102,36.0
103,95.0
104,61.0
105,76.0
106,101.0
107,68.0
108,51.0
109,61.0
110,26.0
111,68.0
112,55.0
113,77.0
114,46.0
115,91.0
116,74.0
117,39.0
118,104.0
119,81.0
120,98.0
121,84.0
122,142.0
123,293.0
124,41.0
125,127.0
126,129.0
127,27.0
128,147.0
129,274.0
130,160.0
131,71.0
132,186.0
133,125.0
134,169.0
135,241.0
136,80.0
137,28.0
138,68.0
139,62.0
140,224.0
141,196.0
142,55.0
143,66.0
144,40.0
145,66.0
146,109.0
147,164.0
148,252.0
149,104.0
150,170.0
151,72.0
152,252.0
153,78.0
154,98.0
155,212.0
156,90.0
157,161.0
158,237.0
159,118.0
160,30.0
161,53.0
162,77.0
163,137.0
164,117.0
165,34.0
166,164.0
167,101.0
168,184.0
169,287.0
170,135.0
171,276.0
172,249.0
173,248.0
174,199.0
175,187.0
176,292.0
177,167.0
178,185.0
179,324.0
180,500.0
181,180.0
182,233.0
183,215.0
184,397.0
185,239.0
186,239.0
187,464.0
188,274.0
189,385.0
190,207.0
191,264.0
192,422.0
193,302.0
194,455.0
195,379.0
196,163.0
197,443.0
198,436.0
199,188.0
200,500.0
201,200.0
202,317.0
203,259.0
204,295.0
205,296.0
206,254.0
207,190.0
208,164.0
209,154.0
210,255.0
211,226.0
212,230.0
213,195.0
214,179.0
215,149.0
216,268.0
217,168.0
218,224.0
219,142.0
220,201.0
221,225.0
222,233.0
223,189.0
224,138.0
225,227.0
226,96.0
227,161.0
228,202.0
229,208.0
230,226.0
231,206.0
232,187.0
233,218.0
234,304.0
235,260.0
236,172.0
237,238.0
238,258.0
239,329.0
240,242.0
241,268.0
242,389.0
243,411.0
244,500.0
245,358.0
246,500.0
247,396.0
248,421.0
249,487.0
250,500.0
251,500.0
252,106.0
253,309.0
254,257.0
255,260.0
256,413.0
257,314.0
258,233.0
259,203.0
260,175.0
261,207.0
262,175.0
263,222.0
264,190.0
265,257.0
266,198.0
267,179.0
268,139.0
269,185.0
270,140.0
271,111.0
272,130.0
273,55.0
274,140.0
275,53.0
276,108.0
277,138.0
278,136.0
279,119.0
280,126.0
281,147.0
282,114.0
283,156.0
284,156.0
285,153.0
286,169.0
287,181.0
288,184.0
289,184.0
290,111.0
291,163.0
292,223.0
293,259.0
294,215.0
295,229.0
296,209.0
297,184.0
298,189.0
299,134.0
300,179.0
301,153.0
302,179.0
303,160.0
304,151.0
305,147.0
306,155.0
307,146.0
308,101.0
309,113.0
310,134.0
311,118.0
312,129.0
313,129.0
314,136.0
315,114.0
316,158.0
317,127.0
318,154.0
319,141.0
320,139.0
321,140.0
322,142.0
323,149.0
324,165.0
325,150.0
326,129.0
327,160.0
328,133.0
329,137.0
330,135.0
331,155.0
332,165.0
333,155.0
334,149.0
335,157.0
336,127.0
337,212.0
338,193.0
339,265.0
340,282.0
341,276.0
342,460.0
343,377.0
344,461.0
345,405.0
346,500.0
347,500.0
348,373.0
349,500.0
350,500.0
351,309.0
352,489.0
353,364.0
354,204.0
355,289.0
356,398.0
357,420.0
358,348.0
359,254.0
360,288.0
361,306.0
362,345.0
363,187.0
364,203.0
365,276.0
366,272.0
367,415.0
368,500.0
369,340.0
370,500.0
371,447.0
372,500.0
373,500.0
374,500.0
375,500.0
376,500.0
377,500.0
378,500.0
379,500.0
380,500.0
381,277.0
382,500.0
383,500.0
384,500.0
385,500.0
386,500.0
387,500.0
388,500.0
389,500.0
390,500.0
391,500.0
392,219.0
393,500.0
394,480.0
395,500.0
396,500.0
397,153.0
398,500.0
399,500.0
400,500.0
401,500.0
402,311.0
403,500.0
404,500.0
405,500.0
406,450.0
407,500.0
408,500.0
409,500.0
410,500.0
411,500.0
412,500.0
413,474.0
414,310.0
415,500.0
416,475.0
417,478.0
418,500.0
419,500.0
420,500.0
421,500.0
422,194.0
423,282.0
424,500.0
425,88.0
426,500.0
427,500.0
428,500.0
429,500.0
430,500.0
431,500.0
432,500.0
433,470.0
434,482.0
435,361.0
436,355.0
437,426.0
438,481.0
439,431.0
440,302.0
441,329.0
442,440.0
443,324.0
444,500.0
445,437.0
446,500.0
447,500.0
448,500.0
449,500.0
450,477.0
451,500.0
452,479.0
453,500.0
454,500.0
455,500.0
456,500.0
457,500.0
458,478.0
459,500.0
460,500.0
461,464.0
462,488.0
463,500.0
464,500.0
465,500.0
466,500.0
467,292.0
468,500.0
469,470.0
470,500.0
471,293.0
472,500.0
473,419.0
474,414.0
475,453.0
476,500.0
477,500.0
478,307.0
479,500.0
480,294.0
481,371.0
482,283.0
483,337.0
484,274.0
485,265.0
486,189.0
487,212.0
488,181.0
489,244.0
490,190.0
491,162.0
492,212.0
493,189.0
494,171.0
495,183.0
496,155.0
497,199.0
498,197.0
499,194.0
500,108.0
501,242.0
502,254.0
503,342.0
504,246.0
505,122.0
506,222.0
507,232.0
508,218.0
509,224.0
510,237.0
511,202.0
512,158.0
513,57.0
